pais,trimestre,anio,producto,cantidad
Colombia,3,2020,Total,360.748227486856
Colombia,2,2020,Refrescos,236.409890271658
Colombia,2,2020,Agua ,24.969758439324
Colombia,2,2020,Otros,17.037145580542
Colombia,2,2020,Total,278.416794291524
Colombia,1,2020,Refrescos,348.310185664263
Colombia,1,2020,Agua,79.69430028754999
Colombia,1,2020,Otros,37.093085245278
Colombia,1,2020,Total,465.097571197091
Colombia,4,2019,Refrescos,406.5073263870249
Colombia,4,2019,Agua,81.71782113205916
Colombia,4,2019,Otros,41.06812349013788
Colombia,4,2019,Total,529.2932710092219
Colombia,3,2019,Refrescos,385.68967153639505
Colombia,3,2019,Agua ,87.20783050881501
Colombia,3,2019,Otros,43.433701100238004
Colombia,3,2019,Total,516.3312031454481
Colombia,2,2019,Refrescos,352.774888932178
Colombia,2,2019,Agua ,77.80747519328
Colombia,2,2019,Otros,33.928566112569996
Colombia,2,2019,Total,464.510930238028
Colombia,1,2019,Refrescos,333.45509874680596
Colombia,1,2019,Agua ,84.79049913688
Colombia,1,2019,Otros,39.543565368751
Colombia,1,2019,Total,457.78916325243694
Colombia,4,2018,Refrescos,398.05389791266055
Colombia,4,2018,Agua,98.39724834446586
Colombia,4,2018,Otros,56.56991644580269
Colombia,4,2018,Total,553.0210627029292
Colombia,3,2018,Refrescos,384.86241773707457
Colombia,3,2018,Agua,95.29439971582542
Colombia,3,2018,Otros,46.76953602345342
Colombia,3,2018,Total,526.9263534763534
Colombia,2,2018,Refrescos,347.9558091597547
Colombia,2,2018,Agua,82.16665599693302
Colombia,2,2018,Otros,44.42649884331227
Colombia,2,2018,Total,474.548964
Colombia,1,2018,Refrescos,373.4898495339013
Colombia,1,2018,Agua  ,83.63767799861198
Colombia,1,2018,Otros,48.6756624674867
Colombia,1,2018,Total,505.80319
Colombia,1,2018,Refrescos,1511.5
Colombia,4,2017,Agua  ,312.5
Colombia,4,2017,Otros,222.5
Colombia,4,2017,Total,2046.5
Brasil,2,2024,Refrescos,1498.6206722719999
Brasil,2,2024,Agua,163.473921276
Brasil,2,2024,Otros,277.342734858
Brasil,2,2024,Total,1939.4373284059998
Brasil,1,2024,Refrescos,1560.4906046410001
Brasil,1,2024,Agua,180.087902364
Brasil,1,2024,Otros,274.424975565
Brasil,1,2024,Total,2015.0034825700002
Brasil,4,2023,Refrescos,1705
Brasil,4,2023,Agua,191.3
Brasil,4,2023,Otros,292.1
Brasil,4,2023,Total,2188.3
Brasil,3,2023,Refrescos,1433.1968724809997
Brasil,3,2023,Agua,158.398496392
Brasil,3,2023,Otros,239.50587148
Brasil,3,2023,Total,1831.1012403529996
Brasil,2,2023,Refrescos,1346.4092034269997
Brasil,2,2023,Agua,135.21448934
Brasil,2,2023,Otros,223.276588467
Brasil,2,2023,Total,1704.9002812339997
Brasil,1,2023,Refrescos,1403.0560504709997
Brasil,1,2023,Agua,170.226491358
Brasil,1,2023,Otros,226.3589146500003
Brasil,1,2023,Total,1799.641456479
Brasil,4,2022,Refrescos,1579.3449588870003
Brasil,4,2022,Agua ,177.622168372
Brasil,4,2022,Otros,324.53070416699995
Brasil,4,2022,Total,2081.497831426
Brasil,3,2022,Refrescos,1334.8299039681926
Brasil,3,2022,Agua ,130.40216580595134
Brasil,3,2022,Otros,203.21315360885635
Brasil,3,2022,Total,1668.4452233830004
Brasil,2,2022,Refrescos,1279.2458789726666
Brasil,2,2022,Agua ,127.4860853426667
Brasil,2,2022,Otros,205.7391735036667
Brasil,2,2022,Total,1612.471137819
Brasil,1,2022,Refrescos,1303.7549941089997
Brasil,1,2022,Agua,146.81823651399998
Brasil,1,2022,Otros,222.80606690300053
Brasil,1,2022,Total,1673.3792975260003
Brasil,4,2021,Refrescos,1470.7533006019999
Brasil,4,2021,Agua ,147.215129126
Brasil,4,2021,Otros,205.278383616
Brasil,4,2021,Total,1823.2468133439997
Brasil,3,2021,Refrescos,1218.0372484240002
Brasil,3,2021,Agua ,104.528295866
Brasil,3,2021,Otros,172.093014058
Brasil,3,2021,Total,1494.658558348
Brasil,2,2021,Refrescos,1045.371356201
Brasil,2,2021,Agua ,71.628394978
Brasil,2,2021,Otros,129.787919812
Brasil,2,2021,Total,1246.787670991
Brasil,1,2021,Refrescos,1063.9780441050002
Brasil,1,2021,Agua,96.157356804
Brasil,1,2021,Otros,141.808996753
Brasil,1,2021,Total,1301.9443976620003
Brasil,4,2020,Refrescos,1402.8565792180002
Brasil,4,2020,Agua ,135.761561838
Brasil,4,2020,Otros,175.78709268600002
Brasil,4,2020,Total,1714.4052337420003
Brasil,3,2020,Refrescos,1051.315001535
Brasil,3,2020,Agua ,80.03866688400001
Brasil,3,2020,Otros,114.70469385300001
Brasil,3,2020,Total,1246.0583622719998
Brasil,2,2020,Refrescos,773.125051769
Brasil,2,2020,Agua ,44.036109922
Brasil,2,2020,Otros,76.092963135
Brasil,2,2020,Total,893.2541248260001
Brasil,1,2020,Refrescos,1091.8842822779998
Brasil,1,2020,Agua,131.269722852
Brasil,1,2020,Otros,131.51834312399998
Brasil,1,2020,Total,1354.6723482539999
Brasil,4,2019,Refrescos,1387.425891287
Brasil,4,2019,Agua,139.96266169000003
Brasil,4,2019,Otros,164.9933524129999
Brasil,4,2019,Total,1692.38190539
Brasil,3,2019,Refrescos,1114.0936041410002
Brasil,3,2019,Agua ,100.55852374600003
Brasil,3,2019,Otros,126.56774322599992
Brasil,3,2019,Total,1341.2198711130002
Brasil,2,2019,Refrescos,1047.837915395
Brasil,2,2019,Agua ,91.60264192999996
Brasil,2,2019,Otros,117.48670317400007
Brasil,2,2019,Total,1256.9272604989999
Brasil,1,2019,Refrescos,1180.8627264359989
Brasil,1,2019,Agua ,124.80524495799997
Brasil,1,2019,Otros,130.017671465
Brasil,1,2019,Total,1435.6856428589988
Brasil,4,2018,Refrescos,1257.8127611939992
Brasil,4,2018,Agua,125.13351588600001
Brasil,4,2018,Otros,144.9120640719999
Brasil,4,2018,Total,1527.858341151999
Brasil,3,2018,Refrescos,1019.22601377
Brasil,3,2018,Agua,89.528929886
Brasil,3,2018,Otros,114.64298688100004
Brasil,3,2018,Total,1223.397930537
Brasil,2,2018,Refrescos,936.0833300979972
Brasil,2,2018,Agua,82.24080094400001
Brasil,2,2018,Otros,107.16926514500003
Brasil,2,2018,Total,1125.4933961869972
Brasil,1,2018,Refrescos,1024.3084101779987
Brasil,1,2018,Agua  ,108.334507962
Brasil,1,2018,Otros,116.04835117700003
Brasil,1,2018,Total,1248.6912693169988
Brasil,1,2018,Refrescos,4079.6
Brasil,4,2017,Agua  ,358.3
Brasil,4,2017,Otros,419.7
Brasil,4,2017,Total,4857.6
Argentina,2,2024,Refrescos,137.97649175999996
Argentina,2,2024,Agua,26.062017
Argentina,2,2024,Otros,21.870177
Argentina,2,2024,Total,185.90868575999997
Argentina,1,2024,Refrescos,148.66517846
Argentina,1,2024,Agua,32.338707
Argentina,1,2024,Otros,26.697996120000038
Argentina,1,2024,Total,207.70188158000002
Argentina,4,2023,Refrescos,182.6
Argentina,4,2023,Agua,41
Argentina,4,2023,Otros,44.5
Argentina,4,2023,Total,268.1
Argentina,3,2023,Refrescos,165.55802499999993
Argentina,3,2023,Agua,30.760634
Argentina,3,2023,Otros,31.855993
Argentina,3,2023,Total,228.17465199999995
Argentina,2,2023,Refrescos,158.36654199999998
Argentina,2,2023,Agua,28.570422999999998
Argentina,2,2023,Otros,31.591033
Argentina,2,2023,Total,218.527998
Argentina,1,2023,Refrescos,183.35006225999996
Argentina,1,2023,Agua,34.823294
Argentina,1,2023,Otros,41.42277
Argentina,1,2023,Total,259.59612625999995
Argentina,4,2022,Refrescos,201.85871196
Argentina,4,2022,Agua ,31.990318
Argentina,4,2022,Otros,36.986388999999996
Argentina,4,2022,Total,270.83541895999997
Argentina,3,2022,Refrescos,171.51481166000002
Argentina,3,2022,Agua ,24.289897
Argentina,3,2022,Otros,27.778851000000003
Argentina,3,2022,Total,223.58355966000002
Argentina,2,2022,Refrescos,161.57239484
Argentina,2,2022,Agua ,22.47099
Argentina,2,2022,Otros,27.498893
Argentina,2,2022,Total,211.54227784
Argentina,1,2022,Refrescos,178.66051416
Argentina,1,2022,Agua,25.068154999999997
Argentina,1,2022,Otros,29.77057200000001
Argentina,1,2022,Total,233.49924116
Argentina,4,2021,Refrescos,188.54730554
Argentina,4,2021,Agua ,25.339941
Argentina,4,2021,Otros,28.596585999999967
Argentina,4,2021,Total,242.48383253999998
Argentina,3,2021,Refrescos,144.07569700000002
Argentina,3,2021,Agua ,16.796669
Argentina,3,2021,Otros,22.387560999999998
Argentina,3,2021,Total,183.25992700000003
Argentina,2,2021,Refrescos,111.23186392
Argentina,2,2021,Agua ,11.892993
Argentina,2,2021,Otros,18.84638
Argentina,2,2021,Total,141.97123692
Argentina,1,2021,Refrescos,155.46036672
Argentina,1,2021,Agua,17.664254
Argentina,1,2021,Otros,25.009878999999998
Argentina,1,2021,Total,198.13449972
Argentina,4,2020,Refrescos,156.26882102
Argentina,4,2020,Agua ,16.54029
Argentina,4,2020,Otros,24.749156
Argentina,4,2020,Total,197.55826702
Argentina,3,2020,Refrescos,103.55201200000002
Argentina,3,2020,Agua ,9.158995
Argentina,3,2020,Otros,14.436767000000001
Argentina,3,2020,Total,127.14777400000003
Argentina,2,2020,Refrescos,72.90373108
Argentina,2,2020,Agua ,5.910706
Argentina,2,2020,Otros,7.069546999999999
Argentina,2,2020,Total,85.88398408
Argentina,1,2020,Refrescos,142.096072
Argentina,1,2020,Agua,22.068002999999997
Argentina,1,2020,Otros,18.388465
Argentina,1,2020,Total,182.55254
Argentina,4,2019,Refrescos,166.35529362
Argentina,4,2019,Agua,25.155410000000003
Argentina,4,2019,Otros,21.683327999999996
Argentina,4,2019,Total,213.19403162
Argentina,3,2019,Refrescos,150.18621100000001
Argentina,3,2019,Agua ,20.283816
Argentina,3,2019,Otros,16.212947
Argentina,3,2019,Total,186.682974
Argentina,2,2019,Refrescos,147.361876
Argentina,2,2019,Agua ,19.510026
Argentina,2,2019,Otros,15.903008
Argentina,2,2019,Total,182.77491
Argentina,1,2019,Refrescos,159.96565506000002
Argentina,1,2019,Agua ,22.633358
Argentina,1,2019,Otros,18.299623999999998
Argentina,1,2019,Total,200.89863706
Argentina,4,2018,Refrescos,183.47192700000005
Argentina,4,2018,Agua,27.357753
Argentina,4,2018,Otros,22.771812
Argentina,4,2018,Total,233.60149200000006
Argentina,3,2018,Refrescos,180.596387
Argentina,3,2018,Agua,21.920638999999998
Argentina,3,2018,Otros,18.83683
Argentina,3,2018,Total,221.35385599999998
Argentina,2,2018,Refrescos,169.538408
Argentina,2,2018,Agua,20.519082
Argentina,2,2018,Otros,18.096893
Argentina,2,2018,Total,208.154383
Argentina,1,2018,Refrescos,204.36158999999998
Argentina,1,2018,Agua  ,27.457849000000003
Argentina,1,2018,Otros,25.142526
Argentina,1,2018,Total,256.96196499999996
Argentina,1,2018,Refrescos,813.9
Argentina,4,2017,Agua  ,105
Argentina,4,2017,Otros,101
Argentina,4,2017,Total,1019.9
Uruguay,2,2024,Refrescos,42.20532149
Uruguay,2,2024,Agua,5.511905
Uruguay,2,2024,Otros,4.738315
Uruguay,2,2024,Total,52.45554149
Uruguay,1,2024,Refrescos,48.84157031
Uruguay,1,2024,Agua,7.172451
Uruguay,1,2024,Otros,6.442558069999992
Uruguay,1,2024,Total,62.456579379999994
Uruguay,4,2023,Refrescos,55
Uruguay,4,2023,Agua,6.6
Uruguay,4,2023,Otros,6.5
Uruguay,4,2023,Total,68.2
Uruguay,3,2023,Refrescos,44.01677387
Uruguay,3,2023,Agua,7.641463
Uruguay,3,2023,Otros,4.186659
Uruguay,3,2023,Total,55.84489587
Uruguay,2,2023,Refrescos,41.357985070000005
Uruguay,2,2023,Agua,10.362827
Uruguay,2,2023,Otros,3.894419
Uruguay,2,2023,Total,55.61523107000001
Uruguay,1,2023,Refrescos,50.272860269999995
Uruguay,1,2023,Agua,7.975986
Uruguay,1,2023,Otros,5.677404
Uruguay,1,2023,Total,63.92625027
Uruguay,4,2022,Refrescos,55.975934099999996
Uruguay,4,2022,Agua ,7.045037
Uruguay,4,2022,Otros,5.215333
Uruguay,4,2022,Total,68.2363041
Uruguay,3,2022,Refrescos,42.231057109999995
Uruguay,3,2022,Agua ,4.576912
Uruguay,3,2022,Otros,3.259104
Uruguay,3,2022,Total,50.067073109999995
Uruguay,2,2022,Refrescos,41.961399
Uruguay,2,2022,Agua ,4.423334
Uruguay,2,2022,Otros,3.353637
Uruguay,2,2022,Total,49.738369999999996
Uruguay,1,2022,Refrescos,47.096194999999994
Uruguay,1,2022,Agua,6.318194
Uruguay,1,2022,Otros,2.775383
Uruguay,1,2022,Total,56.18977199999999
Uruguay,4,2021,Refrescos,56.405241000000004
Uruguay,4,2021,Agua ,6.27834
Uruguay,4,2021,Otros,3.5439270000000005
Uruguay,4,2021,Total,66.227508
Uruguay,3,2021,Refrescos,41.453855
Uruguay,3,2021,Agua ,3.994828
Uruguay,3,2021,Otros,1.7092960000000001
Uruguay,3,2021,Total,47.157979
Uruguay,2,2021,Refrescos,35.938111
Uruguay,2,2021,Agua ,3.56547
Uruguay,2,2021,Otros,1.364283
Uruguay,2,2021,Total,40.867864
Uruguay,1,2021,Refrescos,41.215086
Uruguay,1,2021,Agua,4.765483
Uruguay,1,2021,Otros,1.9094059999999997
Uruguay,1,2021,Total,47.889975
Uruguay,4,2020,Refrescos,50.660781
Uruguay,4,2020,Agua ,4.924527
Uruguay,4,2020,Otros,1.9122639999999997
Uruguay,4,2020,Total,57.497572
Uruguay,3,2020,Refrescos,38.224343999999995
Uruguay,3,2020,Agua ,3.102748
Uruguay,3,2020,Otros,1.052833
Uruguay,3,2020,Total,42.37992499999999
Uruguay,2,2020,Refrescos,27.840188884109214
Uruguay,2,2020,Agua ,3.396980659703444
Uruguay,2,2020,Otros,1.3707914561873327
Uruguay,2,2020,Total,32.60796099999999
Uruguay,1,2020,Refrescos,46.17638401221882
Uruguay,1,2020,Agua,5.183784165362007
Uruguay,1,2020,Otros,1.2249408224191782
Uruguay,1,2020,Total,52.585109
Uruguay,4,2019,Refrescos,57.89739040026898
Uruguay,4,2019,Agua,4.951548292337973
Uruguay,4,2019,Otros,1.2821990073930332
Uruguay,4,2019,Total,64.1311377
Uruguay,3,2019,Refrescos,43.24875931519452
Uruguay,3,2019,Agua ,3.040132769095277
Uruguay,3,2019,Otros,0.9252914257102017
Uruguay,3,2019,Total,47.21418351
Uruguay,2,2019,Refrescos,43.77385717067057
Uruguay,2,2019,Agua ,3.026117362463027
Uruguay,2,2019,Otros,0.8345134668664014
Uruguay,2,2019,Total,47.634488
Uruguay,1,2019,Refrescos,50.10912768163595
Uruguay,1,2019,Agua ,4.1950137198798165
Uruguay,1,2019,Otros,0.6902045984842415
Uruguay,1,2019,Total,54.99434600000001
Uruguay,4,2018,Refrescos,59.58731552118995
Uruguay,4,2018,Agua,4.545406611945034
Uruguay,4,2018,Otros,0.6524368668650067
Uruguay,4,2018,Total,64.785159
Uruguay,3,2018,Refrescos,44.33457926434367
Uruguay,3,2018,Agua,2.722464192102724
Uruguay,3,2018,Otros,0.5568560653903054
Uruguay,3,2018,Total,47.6138995218367
Uruguay,2,2018,Refrescos,
Uruguay,2,2018,Agua,
Uruguay,2,2018,Otros,
Uruguay,2,2018,Total,
Uruguay,1,2018,Refrescos,
Uruguay,1,2018,Agua  ,
Uruguay,1,2018,Otros,
Uruguay,1,2018,Total,
Uruguay,1,2018,Refrescos,
Uruguay,4,2017,Agua  ,
Uruguay,4,2017,Otros,
Uruguay,4,2017,Total,
